CCLE_ID,depMapID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,OriginalSourceofCellLine,Characteristics,GrowthMedium,Supplements,FreezingMedium,DoublingTimefromVendor,DoublingTimeCalculatedhrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code,NameAstra
PLCPRF5_LIVER,-1318,"PLC/PRF/5",primary,liver,NS,NS,NS,carcinoma,hepatocellular_carcinoma,NS,NS,male,<undefined>,24,<undefined>,<undefined>,African_american,<undefined>,<undefined>,CCLE,ATCC,"Epithelial Adherent","EMEM +10%FBS","NA",5,<undefined>,64.6,liver,liver,Liver:HCC,282.9433237,LIHC,
KPNYN_AUTONOMIC_GANGLIA,-227,"KP-N-YN",metastasis,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,male,<undefined>,2,<undefined>,<undefined>,Asian,lymph_node,neuroblastoma,CCLE,HSSRB,"adherent","RPMI-1640 + 10% FBS","NA",10,<undefined>,153.8,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,131.5423981,NB,
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,-329,"CCF-STTG1",primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma,NS,NS,female,<undefined>,68,caucasian,<undefined>,Caucasian,<undefined>,brain_cancer,CCLE,ATCC,"Adherent astrocytic","RPMI-1640+10% FBS","NA",5,<undefined>,187.5,glioma,glioma,CNS:Glioma,112.4321587,GBM,
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-50,"NCI-H929",metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,female,<undefined>,62,caucasian,<undefined>,Caucasian,pleura,multiple_myeloma,CCLE,<undefined>,"Suspension","RPMI1640+10%FBS","NA",5,<undefined>,97.2,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,74.63707721,MM,
KMRC3_KIDNEY,-313,"KMRC-3",primary,kidney,NS,NS,NS,carcinoma,clear_cell_renal_cell_carcinoma,NS,NS,male,adult,NaN,asian,japan,Asian,<undefined>,<undefined>,CCLE,HSSRB,"adherent; extremely slow grower","DMEM+ 10% FBS","NA",5,<undefined>,73.2,kidney,kidney,Kidney:Carcinoma,142.0877631,KIRC,
NCIH2023_LUNG,-781,"NCI-H2023",metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,26,caucasian,<undefined>,Caucasian,lymph_node,<undefined>,CCLE,ATCC,"adherent","DMEM:HAM's F12  1:1 + 5 % FBS",".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine",5,<undefined>,NaN,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,183.4098616,LUAD,
DMS153_LUNG,-594,"DMS 153",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,44,caucasian,<undefined>,Caucasian,liver,<undefined>,CCLE,ATCC,"Mixed line, loosely adherent","Waymouth MB 7521 medium+10%FBS","NA",5,<undefined>,63.5,lung_small_cell,lung_small_cell,Lung:SCLC,129.2287935,SCLC,
NCIH1048_LUNG,-866,"NCI-H1048",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,African_american,pleura,<undefined>,CCLE,ATCC,"Adherent epthelial","RPMI-1640 + 10% FBS","5ug/ml insulin, 10ug/ml transferrin, 3.0x10^-8 M Na Selenite (added 5ml Insulin-Transferrin-Selenium); 1.0x10^-8 M Hydrocortisone, 1.0x10^-8 beta estradiol, 2mM L-glutamine, 10mM HEPES",5,<undefined>,42.7,lung_small_cell,lung_small_cell,Lung:SCLC,246.7023651,SCLC,NCIH1048
D341MED_CENTRAL_NERVOUS_SYSTEM,-95,"D341 Med",primary,central_nervous_system,cerebellum,NS,NS,primitive_neuroectodermal_tumour-medulloblastoma,NS,NS,NS,male,<undefined>,3.5,<undefined>,<undefined>,Caucasian,<undefined>,medulloblastoma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,472.8,medulloblastoma,medulloblastoma,CNS:Medulloblastoma,86.33349346,MB,
NCIH660_PROSTATE,-177,"NCI-H660",metastasis,prostate,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,63,caucasian,<undefined>,Caucasian,lymph_node,small_cell_carcinoma,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,prostate,prostate,Prostate:Carcinoma,86.31007528,PRAD,
NCIH1618_LUNG,-179,"NCI-H1618",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,female,<undefined>,55,caucasian,<undefined>,Caucasian,bone_marrow,<undefined>,CCLE,ATCC,"<undefined>","DMEM:HAM's F12  1:1  +5% FBS",".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine",5,<undefined>,NaN,lung_small_cell,lung_small_cell,Lung:SCLC,99.00667914,SCLC,
HS675T_FIBROBLAST,-214,"Hs 675.T",primary,large_intestine,colon,NS,NS,carcinoma,NS,NS,NS,male,<undefined>,NaN,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,colorectal,fibroblast_like,Colorectal:Carcinoma,91.81570439,COAD/READ,
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-519,"PEER",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,female,<undefined>,4,<undefined>,<undefined>,Caucasian,<undefined>,T-ALL,CCLE,HSRRB,"lymphocyte-like","RPMI 1640 medium with fetal calf serum","NA",NaN,NA,NaN,T-cell_ALL,T-cell_ALL,Leukemia:ALL,129.0002319,ALL,
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-373,"SKM-1",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,male,<undefined>,76,asian,japan,Asian,<undefined>,<undefined>,CCLE,HSRRB,"suspension","RPMI 1640+20%FBS","NA",5,<undefined>,40,AML,AML,Leukemia:AML,164.6000219,LAML,
HT144_SKIN,-322,"HT-144",metastasis,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,male,<undefined>,29,caucasian,<undefined>,Caucasian,subcutaneous_tissue,<undefined>,CCLE,<undefined>,"Fibroblast like adherent","McCoy 5A+15%FBS","NA",5,<undefined>,42.5,melanoma,melanoma,Skin:Melanoma,99.35271705,SKCM,
SKMEL31_SKIN,-640,"SK-MEL-31",primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,malignant_melanoma,CCLE,ATCC,"adherent","EMEM+10%FBS","NA",5,<undefined>,NaN,melanoma,melanoma,Skin:Melanoma,133.3183855,SKCM,
HS839T_FIBROBLAST,-180,"Hs 839.T",primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,female,<undefined>,42,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"Adherent","DMEM +10 %FBS","4.5g/L glucose +1.5 g/Lsodium bicarbonate",5,<undefined>,96.9,melanoma,fibroblast_like,Skin:Melanoma,88.09491949,SKCM,
HS939T_SKIN,-814,"Hs 939.T",primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,female,<undefined>,24,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,<undefined>,"Large adherent cells, quite a bit of debris","DEMEM+10%FBS","<undefined>",5,<undefined>,NaN,melanoma,melanoma,Skin:Melanoma,184.4223473,SKCM,
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-158,"OCI-LY3",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ACADEMIC,"SUSPENSION","RPMI-1640+20%FBS","NA",5,<undefined>,45.4,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,109.4602923,DLBC,
HS819T_FIBROBLAST,-224,"Hs 819.T",primary,bone,NS,NS,NS,chondrosarcoma,NS,NS,NS,male,<undefined>,60,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,chondrosarcoma,fibroblast_like,Bone:Sarcoma_Chondro,85.72875647,SARC,
NCIH69_LUNG,-358,"NCI-H69",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,55,caucasian,<undefined>,Caucasian,pleura,papillary_adenocarcinoma,CCLE,ATCC,"floating aggregates","RPMI 1640 + 10% FBS","NA",5,<undefined>,98.3,lung_small_cell,lung_small_cell,Lung:SCLC,101.4376589,SCLC,
DV90_LUNG,-925,"DV-90",metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,50,<undefined>,<undefined>,Caucasian,pleura,lung_cancer,CCLE,DSMZ,"ADHERENT CELLS GROWING IN MONOLAYERS","RPMI-1640+10% FBS","2mM L-GLUTAMINE, 1X NEAA",5,95 hrs,43.6,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,381.1379084,LUAD,
ZR751_BREAST,-97,"ZR-75-1",metastasis,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,63,caucasian,<undefined>,Caucasian,ascites,breast_cancer,CCLE,ATCC,"adherent epithelial","RPMI-1640 + 10% FBS","NA",5,<undefined>,88.7,breast,breast,Breast:Carcinoma,65.39011856,BRCA,
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-386,"KG-1",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M6,NS,male,<undefined>,59,caucasian,<undefined>,African_american,<undefined>,<undefined>,CCLE,ATCC,"suspension","IMDM+20%FBS","NA",5,<undefined>,78.5,AML,AML,Leukemia:AML,128.4480014,LAML,
SKNBE2_AUTONOMIC_GANGLIA,-312,"SK-N-BE(2)",metastasis,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,male,<undefined>,2.166666667,<undefined>,<undefined>,Caucasian,bone_marrow,neuroblastoma,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,30 hrs,NaN,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,108.8196649,NB,
HCC70_BREAST,-668,"HCC70",primary,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,49,african_american,<undefined>,African_american,<undefined>,breast_cancer,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,breast,breast,Breast:Carcinoma,131.4398136,BRCA,HCC70
NCIH2452_PLEURA,-92,"NCI-H2452",metastasis,pleura,NS,NS,NS,mesothelioma,NS,NS,NS,male,<undefined>,NaN,<undefined>,<undefined>,Caucasian,pleura,<undefined>,CCLE,ATCC,"adherent","RPMI 1640 +10% FBS","NA",5,<undefined>,48.4,mesothelioma,mesothelioma,Lung:Mesothelioma,72.36669085,MESO,
SNU1_STOMACH,-932,"SNU-1",metastasis,stomach,NS,NS,NS,carcinoma,undifferentiated_adenocarcinoma,NS,NS,male,<undefined>,44,asian,<undefined>,Asian,ascites,poorly_differentiated_gastric carcinoma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,stomach,stomach,Gastric:Carcinoma,456.8609593,STAD,
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-104,"Loucy",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,female,<undefined>,38,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,T-cell_ALL,T-cell_ALL,Leukemia:ALL,95.836918,ALL,
HCC56_LARGE_INTESTINE,-467,"HCC-56",primary,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,colorectal,colorectal,Colorectal:Carcinoma,139.4057997,COAD/READ,
NCIH1648_LUNG,-766,"NCI-H1648",metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,39,african_american,<undefined>,African_american,lymph_node,lung_cancer,CCLE,ATCC,"Mix","DMEM/F12(1:1) +10 % FBS",".02 mg/ml insulin, .01 mg/ml transferrin, 25nM sodium selenite, 50 nM hydrocortisone, 2 mM L-glutamine, 0.5 sodium pyruvate, 1ng/mL EGF",5,<undefined>,202.6,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,177.9776725,LUAD,
TO175T_FIBROBLAST,-125,"TO 175.T",metastasis,haematopoietic_and_lymphoid_tissue,lymph_node,NS,NS,lymphoid_neoplasm,Hodgkin_lymphoma,NS,NS,male,<undefined>,29,caucasian,<undefined>,Caucasian,skin,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,lymphoma_Hodgkin,fibroblast_like,Lymphoma:Hodgkin,74.60365229,NA,
GLC82_LUNG,-1071,"GLC-82",primary,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,58,asian,chinese,African_american,<undefined>,<undefined>,CCLE,ICLC,"Epithelial monolayer","DMEM+10% FBS","2mM L-glutamine",5,48 hrs,NaN,lung_NSC,lung_NSC,NA,NaN,NA,
MPP89_PLEURA,-319,"MPP 89",metastasis,pleura,NS,NS,NS,mesothelioma,NS,NS,NS,male,<undefined>,67,<undefined>,<undefined>,Caucasian,pleura,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,mesothelioma,mesothelioma,Lung:Mesothelioma,92.85643096,MESO,
PANC0813_PANCREAS,-417,"Panc 08.13",primary,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,<undefined>,85,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,pancreas,pancreas,Pancreas:Carcinoma,109.1740429,PAAD,PANC0813
MG63_BONE,-359,"MG-63",primary,bone,NS,NS,NS,osteosarcoma,NS,NS,NS,male,<undefined>,14,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,98.02781332,SARC,
PK1_PANCREAS,-307,"PK-1",primary,pancreas,NS,NS,NS,carcinoma,NS,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Asian,<undefined>,<undefined>,CCLE,RIKEN,"Adherent","RPMI 1640 +10%FBS","NA",5,<undefined>,58.2,pancreas,pancreas,Pancreas:Carcinoma,149.1504963,PAAD,
HS840T_FIBROBLAST,-284,"Hs 840.T",benign_neoplasia,upper_aerodigestive_tract,pharynx,NS,NS,other,papilloma,NS,NS,male,<undefined>,7,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,upper_aerodigestive,fibroblast_like,NA,99.73208336,NA,
NCIH23_LUNG,-900,"NCI-H23",primary,lung,NS,NS,NS,carcinoma,non_small_cell_carcinoma,NS,NS,male,<undefined>,51,african_american,<undefined>,African_american,<undefined>,non_small_cell_lung_cancer,CCLE,ATCC,"adherent","RPMI 1640 + 10% FBS","NA",5,<undefined>,58.6,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,261.733481,LUAD,NCIH23
TE617T_SOFT_TISSUE,-51,"TE 617.T",primary,soft_tissue,striated_muscle,NS,NS,rhabdomyosarcoma,NS,NS,NS,female,<undefined>,1.67,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,soft_tissue,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,59.08921113,SARC,
SW1088_CENTRAL_NERVOUS_SYSTEM,-437,"SW 1088",primary,central_nervous_system,brain,NS,NS,glioma,NS,NS,NS,male,<undefined>,72,caucasian,<undefined>,Caucasian,<undefined>,brain_cancer,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,glioma,glioma,CNS:Glioma,92.53520266,GBM,
ISTMES2_PLEURA,-331,"IST-MES2",metastasis,pleura,NS,NS,NS,mesothelioma,NS,NS,NS,male,<undefined>,71,caucasian,<undefined>,Caucasian,pleura,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,mesothelioma,mesothelioma,Lung:Mesothelioma,93.92467241,MESO,
NCIH1373_LUNG,-845,"NCI-H1373",primary,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,56,african_american,<undefined>,African_american,<undefined>,<undefined>,CCLE,ATCC,"adherent","RPMI 1640 +10% FBS","NA",5,<undefined>,46.3,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,NaN,LUAD,
NCIH1930_LUNG,-870,"NCI-H1930",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,41,caucasian,<undefined>,Caucasian,lymph_node,<undefined>,CCLE,ATCC,"Mixed line, majority in suspension","RPMI 1640 +10% FBS","NA",5,<undefined>,NaN,lung_small_cell,lung_small_cell,Lung:SCLC,237.0403961,SCLC,
NCIH1623_LUNG,-744,"NCI-H1623",metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,58,caucasian,<undefined>,Caucasian,lymph_node,<undefined>,CCLE,ATCC,"Adherent, single cells and clusters loosely attached","RPMI 1640+10%FBS","NA",5,<undefined>,189.6,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,154.9801859,LUAD,
HS229T_FIBROBLAST,-131,"Hs 229.T",primary,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,65,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"Adherent","RPMI+10%FBS","NA",5,<undefined>,467.4,lung_NSC,fibroblast_like,Lung:NSCLC_Adeno,62.62303384,LUAD,
NCIH1838_LUNG,-733,"NCI-H1838",primary,lung,NS,NS,NS,carcinoma,non_small_cell_carcinoma,NS,NS,female,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"ADHERENT","RPMI-1640+10%FBS","NA",5,<undefined>,72,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,152.9435432,LUAD,NCIH1838
NCIH1836_LUNG,-559,"NCI-H1836",primary,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,52,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"Mixed Line","DMEM:HAM's F12  1:1 + 5 % FBS",".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine",5,<undefined>,183.9,lung_small_cell,lung_small_cell,Lung:SCLC,NaN,SCLC,
HS688AT_FIBROBLAST,-306,"Hs 688(A).T",primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,male,<undefined>,69,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,<undefined>,"Adherent","DMEM + 10%FBS","NA",5,<undefined>,208.5,melanoma,fibroblast_like,Skin:Melanoma,108.2605181,SKCM,
PANC0504_PANCREAS,-93,"Panc 05.04",primary,pancreas,NS,NS,NS,carcinoma,NS,NS,NS,female,<undefined>,77,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"Adherent","RPMI 1640 +10 FBS","L-glutamine",5,<undefined>,555.4,pancreas,pancreas,Pancreas:Carcinoma,77.45248546,PAAD,
HS822T_FIBROBLAST,-229,"Hs 822.T",primary,bone,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,female,<undefined>,9,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,Ewings_Sarcoma,fibroblast_like,NA,96.91151978,NA,
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-402,"BL-70",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,Burkitt_lymphoma,NS,NS,male,<undefined>,16,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,lymphoma_Burkitt,lymphoma_Burkitt,Lymphoma:NH_B_cell,116.6768714,DLBC,
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-687,"CI-1",metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,B_cell_lymphoma_unspecified,NS,NS,female,<undefined>,38,<undefined>,<undefined>,Caucasian,ascites,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,lymphoma_other,B-cell_lymphoma_other,Lymphoma:NH_B_cell,155.2288707,DLBC,
G292CLONEA141B1_BONE,-82,"G-292, clone A141B1",primary,bone,NS,NS,NS,osteosarcoma,NS,NS,NS,female,<undefined>,9,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NA,"NA","NA","NA",NaN,NA,NaN,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,71.10858281,SARC,
RCM1_LARGE_INTESTINE,-565,"RCM-1",primary,large_intestine,rectum,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,73,<undefined>,<undefined>,Asian,<undefined>,rectum; adenocarcinoma; well differentiated,CCLE,HSSRB,"ADHERENT","RPMI:F12 1:1+10% FBS","NA",5,70hrs,68.5,colorectal,colorectal,Colorectal:Carcinoma,132.1193181,COAD/READ,
HS737T_FIBROBLAST,-185,"Hs 737.T",primary,bone,NS,NS,NS,giant_cell_tumour,NS,NS,NS,female,<undefined>,10,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"suspension","DMEM+10%FBS","NA",5,<undefined>,NaN,giant_cell_tumour,fibroblast_like,NA,83.04201116,NA,
HS616T_FIBROBLAST,-63,"Hs 616.T",primary,haematopoietic_and_lymphoid_tissue,lymph_node,NS,NS,lymphoid_neoplasm,Hodgkin_lymphoma,NS,NS,male,<undefined>,16,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,<undefined>,"Adherent","DMEM + 10% FBS","NA",5,<undefined>,NaN,lymphoma_Hodgkin,fibroblast_like,NA,81.50921629,NA,
HS600T_FIBROBLAST,-240,"Hs 600.T",primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,melanoma,fibroblast_like,NA,90.39089653,NA,
TE159T_FIBROBLAST,-175,"TE 159.T",primary,soft_tissue,striated_muscle,NS,NS,rhabdomyosarcoma,NS,NS,NS,male,<undefined>,6,caucasian,<undefined>,Caucasian,<undefined>,rhabdomyosarcoma,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,soft_tissue,fibroblast_like,NA,96.53034257,NA,
A101D_SKIN,-8,"A101D",primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,male,<undefined>,56,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,69.1,melanoma,melanoma,Skin:Melanoma,78.14512866,SKCM,
NCIH1755_LUNG,-282,"NCI-H1755",metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,65,caucasian,<undefined>,Caucasian,liver,<undefined>,CCLE,ATCC,"Mixed adherent and suspension","RPMI 1640+10%FBS","NA",5,<undefined>,41,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,101.8703799,LUAD,NCIH1755
143B_BONE,-1001,"143B",primary,bone,NS,NS,NS,osteosarcoma,NS,NS,NS,female,<undefined>,13,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NA,"NA","NA","NA",NaN,NA,NaN,osteosarcoma,osteosarcoma,NA,NaN,NA,
RERFLCKJ_LUNG,-482,"RERF-LC-KJ",primary,lung,NS,NS,NS,carcinoma,non_small_cell_carcinoma,NS,NS,male,<undefined>,78,<undefined>,<undefined>,Asian,<undefined>,lung_cancer,CCLE,HSSRB,"adherent epithelial-like","RPMI-1640+10% FBS","NA",5,53hrs,56.5,lung_NSC,lung_NSC,Lung:NSCLC_Others,161.3323387,LUAD,
NCIH1693_LUNG,-21,"NCI-H1693",metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,<undefined>,55,caucasian,<undefined>,Caucasian,lymph_node,<undefined>,CCLE,ATCC,"Adherent","RPMI1640+5%FBS","NA",10,<undefined>,94.7,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,103.8152089,LUAD,NCIH1693
SW780_URINARY_TRACT,-384,"SW 780",primary,urinary_tract,bladder,NS,NS,carcinoma,transitional_cell_carcinoma,NS,NS,female,<undefined>,80,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"Adherent","L15 + 10% FBS","NA",5,<undefined>,92.9,urinary_tract,urinary_tract,Bladder:Carcinoma,93.14475754,BLCA,SW780
HS683_CENTRAL_NERVOUS_SYSTEM,-67,"Hs 683",primary,central_nervous_system,brain,NS,NS,glioma,NS,NS,NS,male,<undefined>,76,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,glioma,glioma,CNS:Glioma,85.7317995,LGG,
RKO_LARGE_INTESTINE,-943,"RKO",primary,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,<undefined>,<undefined>,NaN,<undefined>,<undefined>,African_american,<undefined>,<undefined>,CCLE,ATCC,"adherent epithelial","EMEM+ 10% FBS","NA",5,<undefined>,25.6,colorectal,colorectal,Colorectal:Carcinoma,495.0790703,COAD/READ,
HS729_SOFT_TISSUE,-133,"Hs 729",primary,soft_tissue,striated_muscle,NS,NS,rhabdomyosarcoma,NS,NS,NS,male,<undefined>,74,caucasian,<undefined>,Caucasian,<undefined>,rhabdomyosarcoma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,soft_tissue,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,87.6060673,SARC,
